time,hand_accelerometer_x,hand_accelerometer_y,hand_accelerometer_z,hand_gyroscope_x,hand_gyroscope_y,hand_gyroscope_z,hand_magnetometer_x,hand_magnetometer_y,hand_magnetometer_z,ankle_accelerometer_x,ankle_accelerometer_y,ankle_accelerometer_z,ankle_gyroscope_x,ankle_gyroscope_y,ankle_gyroscope_z,ankle_magnetometer_x,ankle_magnetometer_y,ankle_magnetometer_z,chest_accelerometer_x,chest_accelerometer_y,chest_accelerometer_z,chest_gyroscope_x,chest_gyroscope_y,chest_gyroscope_z,chest_magnetometer_x,chest_magnetometer_y,chest_magnetometer_z
07:59.569,0.9228515625,0.00732421875,1.8642578125,-2.35748291015625,1.13677978515625,-0.32806396484375,-4.947985347985348,3.1487179487179486,28.188522588522588,-1.908203125,-0.11767578125,0.43017578125,0.0,0.0,0.0,26.389255189255188,-63.12429792429792,40.33357753357753,-0.25048828125,2.033203125,0.07861328125,-0.87738037109375,0.732421875,1.434326171875,-82.76630036630036,27.438827838827837,-18.892307692307693
08:00.592,0.88720703125,-0.0087890625,1.85400390625,-1.31988525390625,1.6937255859375,0.41961669921875,-4.348229548229548,3.8984126984126983,26.539194139194137,-1.90966796875,-0.10498046875,0.43603515625,0.0,0.0,0.0,25.93943833943834,-59.825641025641026,41.683028083028084,-0.2509765625,2.0341796875,0.07763671875,-0.77056884765625,1.1749267578125,1.6021728515625,-81.86666666666666,28.338461538461537,-21.14139194139194
08:01.714,0.89306640625,-0.0185546875,1.84765625,-1.2664794921875,1.6632080078125,0.1678466796875,-4.648107448107448,2.0991452991452992,28.93821733821734,-1.908203125,-0.11669921875,0.3984375,0.0,0.0,0.0,26.83907203907204,-59.22588522588522,41.533089133089135,-0.251953125,2.03662109375,0.072265625,-0.79345703125,0.49591064453125,1.51824951171875,-82.46642246642246,26.83907203907204,-20.841514041514042
08:02.737,0.8779296875,-0.015625,1.83251953125,-1.1749267578125,0.640869140625,0.1220703125,-5.847619047619047,1.9492063492063492,26.689133089133087,-1.91552734375,-0.115234375,0.416015625,0.0,0.0,0.0,24.88986568986569,-60.87521367521367,39.583882783882785,-0.25048828125,2.04833984375,0.072265625,-1.18255615234375,0.83160400390625,1.6632080078125,-83.81587301587301,27.13894993894994,-21.741147741147742
08:03.712,0.8857421875,-0.02001953125,1.8369140625,-1.0528564453125,0.74005126953125,0.57220458984375,-7.646886446886446,4.348229548229548,27.738705738705736,-1.91552734375,-0.12255859375,0.396484375,0.0,0.0,0.0,26.689133089133087,-60.57533577533577,40.33357753357753,-0.26025390625,2.0302734375,0.072265625,-1.0833740234375,0.79345703125,1.495361328125,-82.46642246642246,26.539194139194137,-21.14139194139194
08:04.687,0.87841796875,-0.0166015625,1.8359375,-1.1749267578125,0.9613037109375,0.3509521484375,-6.747252747252747,2.848840048840049,27.88864468864469,-1.908203125,-0.12255859375,0.41162109375,0.0,0.0,0.0,26.83907203907204,-61.924786324786325,39.883760683760684,-0.25341796875,2.04296875,0.06982421875,-0.96893310546875,0.83160400390625,1.6632080078125,-83.81587301587301,28.488400488400487,-20.39169719169719
08:05.711,0.87451171875,-0.0263671875,1.85595703125,-1.15966796875,1.68609619140625,0.2899169921875,-5.547741147741148,1.1995115995115995,28.03858363858364,-1.91259765625,-0.1103515625,0.35986328125,0.0,0.0,0.0,26.389255189255188,-60.57533577533577,40.33357753357753,-0.25048828125,2.037109375,0.0634765625,-0.67138671875,1.24359130859375,1.434326171875,-81.86666666666666,26.83907203907204,-20.54163614163614
08:06.637,0.8701171875,-0.02294921875,1.8544921875,-1.15966796875,1.68609619140625,0.2899169921875,-5.997557997557998,0.29987789987789987,27.588766788766787,-1.91455078125,-0.11474609375,0.40478515625,0.0,0.0,0.0,26.689133089133087,-59.825641025641026,40.33357753357753,-0.25146484375,2.03515625,0.06103515625,-0.89263916015625,0.93841552734375,1.708984375,-83.21611721611721,27.288888888888888,-21.59120879120879
08:07.612,0.873046875,-0.021484375,1.85546875,-1.007080078125,0.9613037109375,0.0152587890625,-5.697680097680098,2.848840048840049,26.23931623931624,-1.9208984375,-0.115234375,0.4111328125,0.0,0.0,0.0,25.03980463980464,-61.17509157509157,39.433943833943836,-0.2314453125,2.03466796875,0.0888671875,-0.72479248046875,-2.15911865234375,1.33514404296875,-82.16654456654456,26.83907203907204,-21.59120879120879
08:08.588,0.85791015625,-0.021484375,1.853515625,-1.1444091796875,1.46484375,0.54931640625,-7.197069597069596,0.5997557997557997,27.13894993894994,-1.9189453125,-0.12158203125,0.42333984375,0.0,0.0,0.0,26.389255189255188,-60.87521367521367,40.033699633699634,-0.25537109375,2.03857421875,0.0693359375,-0.83160400390625,1.678466796875,0.457763671875,-83.06617826617827,27.738705738705736,-19.64200244200244
08:09.563,0.8740234375,-0.03125,1.86083984375,-1.62506103515625,1.19781494140625,-0.05340576171875,-7.197069597069596,0.5997557997557997,27.13894993894994,-1.91357421875,-0.115234375,0.4091796875,0.0,0.0,0.0,24.739926739926737,-61.47496947496947,39.433943833943836,-0.25048828125,2.03759765625,0.0830078125,-1.1444091796875,0.74005126953125,1.25885009765625,-83.81587301587301,28.188522588522588,-20.69157509157509
08:10.586,0.86767578125,-0.0185546875,1.849609375,-1.1444091796875,1.15966796875,0.091552734375,-7.347008547008547,2.548962148962149,27.738705738705736,-1.91748046875,-0.10546875,0.40087890625,0.0,0.0,0.0,27.438827838827837,-60.57533577533577,38.98412698412698,-0.244140625,2.03515625,0.08203125,-1.02996826171875,1.0833740234375,1.708984375,-83.81587301587301,26.689133089133087,-20.39169719169719
